voucher_id,date,voucher_type,account,debit,credit,party_type,party,narration
OPEN-1,2024-04-01,OPENING,HDFC Bank,500000.00,0,,,Opening
OPEN-1,2024-04-01,OPENING,Capital Account,0,500000.00,,,Opening
PUR-1,2024-04-08,PURCHASE,Purchase Account,80000.00,0,,,Stock in
PUR-1,2024-04-08,PURCHASE,Input CGST,7200.00,0,,,Stock in
PUR-1,2024-04-08,PURCHASE,Input SGST,7200.00,0,,,Stock in
PUR-1,2024-04-08,PURCHASE,Sundry Creditors,0,94400.00,vendor,VEND-1,Stock in
SAL-1,2024-04-10,SALE,Sundry Debtors,118000.00,0,customer,CUST-A,Sale CUST-A
SAL-1,2024-04-10,SALE,Sales Account,0,100000.00,,,Sale CUST-A
SAL-1,2024-04-10,SALE,Output CGST,0,9000.00,,,Sale CUST-A
SAL-1,2024-04-10,SALE,Output SGST,0,9000.00,,,Sale CUST-A
SAL-2,2024-04-12,SALE,Sundry Debtors,59000.00,0,customer,CUST-B,Sale CUST-B
SAL-2,2024-04-12,SALE,Sales Account,0,50000.00,,,Sale CUST-B
SAL-2,2024-04-12,SALE,Output CGST,0,4500.00,,,Sale CUST-B
SAL-2,2024-04-12,SALE,Output SGST,0,4500.00,,,Sale CUST-B
REC-1,2024-04-20,RECEIPT,HDFC Bank,118000.00,0,,,Receipt CUST-A
REC-1,2024-04-20,RECEIPT,Sundry Debtors,0,118000.00,customer,CUST-A,Receipt CUST-A
PAY-1,2024-04-25,PAYMENT,Sundry Creditors,94400.00,0,vendor,VEND-1,Pay VEND-1
PAY-1,2024-04-25,PAYMENT,HDFC Bank,0,94400.00,,,Pay VEND-1
EXP-1,2024-04-30,EXPENSE,Rent,20000.00,0,,,April rent
EXP-1,2024-04-30,EXPENSE,HDFC Bank,0,20000.00,,,April rent
